seed = 0x019f073b = 27199291 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x00378c41 = 3640385 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x005d7474 = 6124660 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x0162f196 = 23261590 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x017ace12 = 24825362 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x0216012e = 34996526 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x02410427 = 37815335 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x03fd0ece = 66916046 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x058c9586 = 93099398 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x04e1ebe3 = 81914851 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x07ef53a5 = 133125029 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x08b26d74 = 145911156 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x0969fdc8 = 157941192 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x0a0dbc6b = 168672363 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x0bce7873 = 198080627 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x0a52b0f6 = 173191414 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x0ad5f0aa = 181792938 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x0c372018 = 204939288 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x0d5a0054 = 224002132 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x0d6bc67e = 225166974 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x0e6fab44 = 242199364 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x0ffacc43 = 268094531 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x11a9ea5f = 296348255 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x13345f4d = 322199373 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x17443675 = 390346357 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x192c0163 = 422314339 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x19b884f2 = 431523058 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x1a8790d2 = 445092050 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x1b96de42 = 462872130 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x1a981e6c = 446176876 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x1d99c810 = 496617488 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x1c6ad027 = 476762151 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x1d7b8490 = 494634128 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x1f1d6850 = 522020944 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x1eb2a093 = 515022995 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x1ebb0067 = 515571815 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x23ab6bb7 = 598436791 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x22ea639e = 585786270 (PHP 5.2.1 to 7.0.x; HHVM)
